References,Qty,Description,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Manufacturer,MPN,Digikey,Mouser,RS,Newark,Farnell,LCSC,Link 1,Link 2
"C10,C11",2,220nF 50V,Yageo,CC0603KRX7R7BB224,Murata,GRM188R71E224KA88D,,,,,490-1293-1-ND,81GRM188R71E224KA88,6242496,68R4772,1828900,C21120,,
"U3,U4",2,TPS61160A,,,,,,,,,296-24308-1-ND,595TPS61160ADRVR,1456783,33AH5278,3006048,,,
"C8,C9,C7,C5",4,470nF 0805,,,,,,,,,478-1403-1-ND,,,,,C13967,,
U5,1,1117-3.3,,,,,,,,,LM1117DTX-3.3/NOPBCT-ND,595REG11173.3/2K5,8095407,29AH7865,2111733,C6186,,
J1,1,47272-0001,,,,,,,,,WM19271CT-ND,538472720001,8007021,28X2778,2396153,,https://www.ebay.de/itm/5PCS-X-47272-0001-MOLEX-connector/333130808543,https://de.aliexpress.com/item/32985577405.html
U2,1,NE555,,,,,,,,,296-1411-5-ND,595NE555P,8234043P,05M4241,9589880,C7593,,
R8,1,RK14J12R0A0C,ALPS,RK14J12R0A0C,,,,,,,,688-RK14J12R0A0C,,,,C231766,,
"R7,R6",2,0.8Ohm 0805,,,,,,,,,HCJ0805ZT0R00CT-ND,,,,,C25267,,
R5,1,100Ohm 0603,Yageo,RC0603FR-07100RL,Panasonic,ERJ-3EKF1000V,Vishay,CRCW0603100RFKEA,,,311-100HRDKR-ND,71CRCW0603100E3,8206748,64R5307,2303059,C22775,,
"L2,L1",2,22uH 4040,,,,,,,,,732-10762-1-ND,45522UHF001033E,1718447P,26M5905,1186787,C408340,,
"D3,D2,D1",2,SS34 SOD-123,,,,,,,,,SS34LWRVGCT-ND,,,,,C84632,,
"C6,C4",2,10uF 0805,Murata,GRM21BR61C106KE15L,,,,,,,490-3886-1-ND,81GRM21BR61C106KE15,7236039,35R0687,1762635,C15850,,
C3,1,1n 0603,Yageo,CC0603KRX7R9BB102,Murata,GRM1885C1H102JA01D,Yageo,CC0603KRX7R9BB102,Murata,GRM188R71H102KA01D,311-1080-6-ND,603CC603KRX7R9BB102,7235795,68R4786,1362437,C1588,,
"C2,C1",2,100n 0603,Yageo,CC0603KRX7R9BB104,Murata,GRM188R71H104KA93D,,,,,490-1519-6-ND,603CC603KRX7R9BB104,7235676,68R4788,8820023,C14663,,
J2,1,TYPE-C-31-M-17,Korean Hroparts Elec,TYPE-C-31-M-17,,,,,,,,,,,,C283540,,
"R4,R3",2,0Ohm 0603,Yageo,RC0603JR-070RL,Panasonic,ERJ-3GEY0R00V,Vishay,CRCW06030000Z0EA,,,P0.0GCT-ND,667ERJ3GEY0R00V,8206736,65T8702,1469739,C21189,,
"R2,R1",2,5K1Ohm 0603,,,,,,,,,YAG2741CT-ND,,,,,C23186,,
U1,1,5022505191,,,,,,,,,WM14452CT-ND,5385022505191,1796502,56R1204,2442767,,https://www.ebay.de/itm/10PCS-X-502250-5191-5022505191-0-3mm-pitch-51Pin-MOLEX-Connector/332230404884,https://de.aliexpress.com/item/4000026233731.html
